,day,location,temperature_2m,relative_humidity_2m,snow_depth,wind_speed_10m,rain,snowfall
3,1990-10-01,sugarbush,48.85,77.75,0.0,4.7124999999999995,0.189,0.0
7,1990-10-02,sugarbush,46.17916666666667,74.45833333333333,0.0,8.566666666666666,0.123,0.0
11,1990-10-03,sugarbush,45.11666666666667,72.83333333333333,0.0,3.7875,0.0,0.0
15,1990-10-04,sugarbush,54.39166666666667,76.66666666666667,0.0,11.345833333333333,0.496,0.0
19,1990-10-05,sugarbush,49.81666666666666,81.5,0.0,8.15,0.075,0.0
23,1990-10-06,sugarbush,57.88333333333333,71.58333333333333,0.0,9.2125,0.036000000000000004,0.0
27,1990-10-07,sugarbush,63.19166666666666,66.54166666666667,0.0,7.433333333333334,0.0,0.0
31,1990-10-08,sugarbush,56.291666666666664,85.5,0.0,4.591666666666667,0.044,0.0
35,1990-10-09,sugarbush,54.61666666666667,96.20833333333333,0.0,3.1208333333333336,0.135,0.0
39,1990-10-10,sugarbush,48.53333333333333,98.29166666666667,0.0,4.666666666666667,0.353,0.0
43,1990-10-11,sugarbush,53.54583333333333,94.91666666666667,0.0,9.033333333333333,0.132,0.0
47,1990-10-12,sugarbush,61.925000000000004,89.95833333333333,0.0,8.308333333333334,0.583,0.0
51,1990-10-13,sugarbush,62.81666666666667,95.91666666666667,0.0,6.466666666666666,0.33499999999999996,0.0
55,1990-10-14,sugarbush,59.862500000000004,89.75,0.0,4.870833333333334,0.123,0.0
59,1990-10-15,sugarbush,54.208333333333336,78.625,0.0,7.470833333333334,0.004,0.0
63,1990-10-16,sugarbush,46.7125,67.45833333333333,0.0,5.7875000000000005,0.0,0.0
67,1990-10-17,sugarbush,47.925000000000004,63.0,0.0,7.916666666666667,0.028,0.0
71,1990-10-18,sugarbush,57.82916666666667,74.875,0.0,11.674999999999999,0.0,0.0
75,1990-10-19,sugarbush,44.36666666666667,78.91666666666667,0.0,10.975,1.296,0.0
79,1990-10-20,sugarbush,37.795833333333334,57.958333333333336,0.0,6.566666666666666,0.0,0.0
83,1990-10-21,sugarbush,41.637499999999996,65.45833333333333,0.0,7.779166666666666,0.0,0.0
87,1990-10-22,sugarbush,48.5875,89.125,0.0,7.058333333333334,0.084,0.0
91,1990-10-23,sugarbush,49.59583333333333,99.66666666666667,0.0,3.2125,0.451,0.0
95,1990-10-24,sugarbush,47.21666666666667,97.70833333333333,0.0,6.2124999999999995,0.442,0.0
99,1990-10-25,sugarbush,42.80416666666667,85.29166666666667,0.0,4.033333333333333,0.0,0.0
103,1990-10-26,sugarbush,36.15416666666667,76.0,0.0,9.595833333333333,0.0,0.0
107,1990-10-27,sugarbush,31.558333333333334,61.333333333333336,0.0,6.270833333333333,0.0,0.0
