season,season_start_year,season_end_year,season_week_index,season_chart_slot_index,month_index,month_name,month_number,calendar_year,month_week_slot,grade,grade_points,label_date,weather_window_start,weather_window_end,avg_weather_days_observed,avg_hours_above_freezing_sum_7d,avg_hours_above_freezing_mean_7d,avg_hours_above_freezing_max_7d,avg_hours_above_freezing_label_day,avg_temperature_mean_7d,avg_temperature_min_7d,avg_temperature_max_7d,avg_temperature_label_day,avg_humidity_mean_7d,avg_humidity_min_7d,avg_humidity_max_7d,avg_humidity_label_day,avg_snow_depth_mean_7d,avg_snow_depth_min_7d,avg_snow_depth_max_7d,avg_snow_depth_label_day,avg_wind_speed_mean_7d,avg_wind_speed_min_7d,avg_wind_speed_max_7d,avg_wind_speed_label_day,avg_rain_sum_7d,avg_rain_max_7d,avg_rain_label_day,avg_snowfall_sum_7d,avg_snowfall_max_7d,avg_snowfall_label_day
2024-25,2024,2025,1,8,2,November,11,2024,3,D,0,2024-11-16,2024-11-10,2024-11-16,7,84.5,12.071428571428571,21.75,14.0,33.163244047619045,26.169791666666665,43.178125,33.446875,62.608630952380956,48.09375,85.05208333333334,58.479166666666664,0.0035357142857142857,0.0,0.00825,0.0,6.816220238095239,2.5833333333333335,12.04375,7.215625,0.28325,0.15775,0.0,0.352,0.352,0.0
2024-25,2024,2025,2,9,2,November,11,2024,4,D,0,2024-11-23,2024-11-17,2024-11-23,7,129.5,18.5,20.75,16.25,35.89032738095238,33.121875,37.74375,33.121875,83.85119047619048,56.375,97.79166666666666,97.79166666666666,0.005431547619047614,0.0,0.0304583333333333,0.0304583333333333,6.359970238095238,2.798958333333333,10.170833333333334,8.107291666666667,0.6412499999999999,0.33575,0.1014999999999999,2.7235,1.62725,1.62725
2024-25,2024,2025,3,10,2,November,11,2024,5,D,0,2024-11-30,2024-11-24,2024-11-30,7,51.5,7.357142857142857,13.5,0.0,28.16190476190476,21.93541666666667,31.50625,21.93541666666667,84.37053571428571,78.0,91.35416666666666,85.90625,0.21474255952380952,0.08371875,0.45359375,0.45359375,8.544345238095238,5.342708333333333,13.65,8.635416666666666,0.42125,0.3485,0.0,6.08075,4.3,0.22775
2024-25,2024,2025,4,11,3,December,12,2024,1,B,2,2024-12-07,2024-12-01,2024-12-07,7,1.5,0.21428571428571427,1.5,0.0,19.35327380952381,14.417708333333334,26.496875,14.417708333333334,83.77678571428571,80.44791666666666,87.35416666666667,83.20833333333334,0.5645654761904763,0.48159375,0.70009375,0.70009375,6.843154761904762,3.81875,11.847916666666666,4.8062499999999995,0.001,0.001,0.0,3.7072499999999997,1.20225,0.5395
2024-25,2024,2025,5,12,3,December,12,2024,2,D,0,2024-12-14,2024-12-08,2024-12-14,7,34.25,4.892857142857143,17.25,0.0,23.394791666666666,12.017708333333331,35.391666666666666,12.017708333333331,83.97916666666667,73.77083333333334,94.11458333333331,78.98958333333334,0.8459077380952381,0.8019479166666666,0.927,0.8399375,8.209375,3.978125,11.276041666666666,3.978125,1.23,0.85375,0.0,5.77775,1.9785,0.0
2024-25,2024,2025,6,13,3,December,12,2024,3,C,1,2024-12-21,2024-12-15,2024-12-21,7,41.0,5.857142857142857,19.5,0.0,22.357589285714287,8.980208333333334,36.797916666666666,12.583333333333334,84.9672619047619,72.97916666666667,90.89583333333331,86.69791666666666,0.727482142857143,0.56978125,0.8341666666666666,0.7672395833333333,6.488095238095238,2.3531250000000004,12.448958333333334,7.383333333333333,0.217,0.205,0.002,3.5012499999999998,1.668,0.77725
2024-25,2024,2025,7,14,3,December,12,2024,4,C,1,2024-12-28,2024-12-22,2024-12-28,7,8.75,1.25,7.75,7.75,10.532440476190477,-1.1760416666666669,25.927083333333336,25.927083333333336,77.00595238095238,68.63541666666667,82.94791666666666,79.25,0.980546130952381,0.80959375,1.0889375,1.0280104166666666,3.554017857142857,0.8375,7.613541666666666,3.771875,0.003,0.003,0.003,3.2615000000000003,3.1215,0.0
2024-25,2024,2025,8,16,4,January,1,2025,1,A,3,2025-01-04,2024-12-29,2025-01-04,7,76.25,10.892857142857142,23.75,0.0,28.487797619047623,10.264583333333333,42.24270833333333,10.264583333333333,85.02827380952381,74.88541666666667,94.09375,74.88541666666667,0.5430877976190477,0.1842395833333333,0.9080416666666666,0.63915625,9.862797619047617,4.988541666666666,14.603125,10.221875,0.45649999999999996,0.27175,0.0,5.102,2.06775,0.661
2024-25,2024,2025,9,17,4,January,1,2025,2,A,3,2025-01-11,2025-01-05,2025-01-11,7,0.0,0.0,0.0,0.0,7.476041666666666,0.4177083333333334,13.509375,13.509375,82.66071428571429,80.10416666666666,84.79166666666666,82.16666666666667,0.7883318452380952,0.6896875,0.9092083333333332,0.86675,8.754761904761905,2.8427083333333334,13.002083333333331,2.8427083333333334,0.005,0.005,0.0,3.896,1.016,0.76125
2024-25,2024,2025,10,18,4,January,1,2025,3,A,3,2025-01-18,2025-01-12,2025-01-18,7,6.25,0.8928571428571429,5.25,5.25,16.76845238095238,9.047916666666667,26.786458333333332,26.786458333333332,81.54464285714288,78.14583333333334,83.39583333333333,78.14583333333334,0.8410520833333334,0.77925,0.9009583333333332,0.8770104166666667,6.619196428571429,3.6947916666666663,9.872916666666669,9.872916666666669,0.004,0.002,0.002,2.14225,0.71325,0.325
2024-25,2024,2025,11,19,4,January,1,2025,4,A,3,2025-01-25,2025-01-19,2025-01-25,7,4.25,0.6071428571428571,4.25,0.0,4.474255952380953,-5.383333333333334,21.175,2.6145833333333335,72.36309523809523,58.02083333333333,86.44791666666666,74.70833333333334,0.9694434523809524,0.8715729166666667,0.99009375,0.98253125,5.751339285714286,3.551041666666667,7.732291666666667,5.102083333333333,0.007,0.006,0.0,1.907,1.12425,0.0
2024-25,2024,2025,12,21,5,February,2,2025,1,A,3,2025-02-01,2025-01-26,2025-02-01,7,3.25,0.4642857142857143,2.75,0.0,13.73764880952381,2.3760416666666666,20.752083333333335,9.03125,74.08779761904762,68.17708333333334,80.8125,79.67708333333333,1.1208824404761903,0.974625,1.3343020833333332,1.3343020833333332,9.274553571428571,6.003125,13.186458333333334,6.003125,0.006,0.004,0.004,5.0585,1.6825,1.45425
2024-25,2024,2025,13,22,5,February,2,2025,2,A,3,2025-02-08,2025-02-02,2025-02-08,7,5.5,0.7857142857142857,3.25,0.0,10.872321428571428,-3.9375,21.51875,14.121875,76.35267857142857,63.16666666666667,85.38541666666666,75.08333333333333,1.5394747023809523,1.34525,1.7273125,1.71321875,8.170089285714287,3.925,14.530208333333333,7.442708333333334,0.026000000000000002,0.012,0.0,5.8955,2.164,0.06275
2024-25,2024,2025,14,23,5,February,2,2025,3,A,3,2025-02-15,2025-02-09,2025-02-15,7,3.5,0.5,3.25,0.0,13.023660714285716,6.99375,22.038541666666667,6.99375,75.18452380952381,63.6875,85.71875,63.6875,1.902949404761905,1.8438125,1.98846875,1.94915625,6.966964285714286,2.4208333333333334,13.753125,3.4625,0.0745,0.0705,0.0,6.1165,2.9285,0.42775
2024-25,2024,2025,15,24,5,February,2,2025,4,A,3,2025-02-22,2025-02-16,2025-02-22,7,0.0,0.0,0.0,0.0,7.397470238095238,0.6322916666666667,16.516666666666666,10.1125,74.61011904761904,65.19791666666666,88.38541666666666,70.71875,2.5300416666666665,2.1943854166666665,2.693427083333334,2.4721458333333333,9.747767857142858,4.046875,16.02916666666667,6.348958333333334,0.09125,0.08025,0.0,7.5355,5.5055,0.0
2024-25,2024,2025,16,26,6,March,3,2025,1,A,3,2025-03-01,2025-02-23,2025-03-01,7,54.5,7.785714285714286,18.5,5.25,26.449851190476192,21.43125,35.33333333333333,24.359375,78.64880952380952,70.57291666666667,91.02083333333331,71.72916666666666,2.2223645833333334,2.1224166666666666,2.4180312500000003,2.14390625,8.358482142857143,6.6260416666666675,10.869791666666666,10.869791666666666,0.16375,0.06075,0.012,3.99875,1.42725,0.7045
2024-25,2024,2025,17,27,6,March,3,2025,2,C,1,2025-03-08,2025-03-02,2025-03-08,7,48.75,6.964285714285714,22.5,0.0,19.686607142857138,1.1989583333333331,40.02916666666667,16.686458333333334,72.13690476190477,63.5625,84.69791666666666,71.40625,1.947358630952381,1.6590416666666663,2.149,1.6590416666666663,10.13705357142857,4.4625,16.536458333333336,14.46875,0.7045,0.3555,0.001,1.53775,0.4505,0.4085
2024-25,2024,2025,18,28,6,March,3,2025,3,B,2,2025-03-15,2025-03-09,2025-03-15,7,71.75,10.25,21.5,21.5,30.279315476190472,19.85,41.809375,41.809375,66.61160714285714,57.48958333333333,74.5625,65.11458333333333,1.5438586309523807,1.2818124999999998,1.7242916666666666,1.2818124999999998,7.103869047619048,5.164583333333333,10.627083333333331,7.577083333333333,0.026750000000000003,0.02475,0.0,1.228,0.6625,0.0
2024-25,2024,2025,19,29,6,March,3,2025,4,C,1,2025-03-22,2025-03-16,2025-03-22,7,117.75,16.821428571428573,24.0,10.75,38.01428571428571,30.165625,45.16458333333333,33.309374999999996,71.89136904761904,47.09375,94.05208333333331,55.895833333333336,0.36713392857142857,0.1265416666666666,0.8940520833333333,0.1392499999999999,8.474702380952381,4.288541666666667,12.652083333333334,7.60625,0.8935,0.59625,0.02975,1.6687500000000002,1.358,0.131
2024-25,2024,2025,20,30,6,March,3,2025,5,C,1,2025-03-29,2025-03-23,2025-03-29,7,43.5,6.214285714285714,10.0,6.5,26.826339285714287,18.328125,31.197916666666664,28.267708333333335,67.81398809523809,52.13541666666667,79.9375,79.23958333333333,0.22648660714285712,0.12153125,0.4818854166666667,0.4818854166666667,7.871428571428571,4.019791666666666,12.407291666666666,4.019791666666666,0.1605,0.12675,0.12675,5.858499999999999,3.584,3.584
2024-25,2024,2025,21,31,7,April,4,2025,1,C,1,2025-04-05,2025-03-30,2025-04-05,7,99.75,14.25,21.5,18.0,34.72842261904761,24.271875,42.95833333333333,34.240625,72.55059523809523,41.69791666666667,88.875,75.02083333333334,0.24745833333333336,0.04021875,0.6698229166666667,0.04021875,9.881101190476189,6.209375,12.684375,8.551041666666666,1.18475,0.4315,0.18025,1.338,0.6685,0.0
2024-25,2024,2025,22,32,7,April,4,2025,2,B,2,2025-04-12,2025-04-06,2025-04-12,7,78.75,11.25,18.75,15.25,30.15639880952381,20.59583333333333,36.81041666666667,32.80104166666667,73.85863095238093,56.020833333333336,91.55208333333331,91.55208333333331,0.09699999999999999,0.02096875,0.14578125,0.1371458333333333,6.283630952380952,3.1604166666666664,10.245833333333334,4.348958333333333,0.3555,0.2815,0.069,3.6162500000000004,2.0825,0.48375
2024-25,2024,2025,23,33,7,April,4,2025,3,C,1,2025-04-19,2025-04-13,2025-04-19,7,125.75,17.964285714285715,24.0,24.0,40.62083333333333,31.737499999999997,55.817708333333336,55.817708333333336,66.60714285714286,48.510416666666664,84.67708333333333,70.32291666666666,0.05543154761904762,0.011,0.1317395833333333,0.011,8.505208333333332,4.15,12.103125,10.922916666666666,0.29000000000000004,0.11275,0.11275,2.007,1.6342500000000002,0.0
2024-25,2024,2025,24,34,7,April,4,2025,4,D,0,2025-04-26,2025-04-20,2025-04-26,7,154.5,22.071428571428573,24.0,24.0,46.67366071428571,40.42604166666666,53.36875,52.99166666666667,68.24553571428571,44.375,91.30208333333331,91.30208333333331,0.0,0.0,0.0,0.0,7.548660714285714,3.1104166666666666,15.130208333333332,7.0625,1.1385,0.692,0.692,0.007,0.007,0.0
2024-25,2024,2025,25,36,8,May,5,2025,1,D,0,2025-05-03,2025-04-27,2025-05-03,7,155.0,22.142857142857142,24.0,24.0,48.28244047619048,37.45520833333333,57.58958333333334,53.088541666666664,71.0877976190476,50.90625,94.21875,88.11458333333334,0.0033392857142857143,0.0,0.015125,0.0,7.673809523809525,2.661458333333333,12.561458333333333,4.521875,1.1229999999999998,0.4014999999999999,0.2825,1.0205000000000002,1.0205000000000002,0.0
2024-25,2024,2025,26,37,8,May,5,2025,2,D,0,2025-05-10,2025-05-04,2025-05-10,7,168.0,24.0,24.0,24.0,48.99285714285714,43.49479166666667,53.724999999999994,45.33854166666667,91.29910714285714,85.46875,96.05208333333331,95.76041666666669,0.0,0.0,0.0,0.0,6.194940476190476,2.5104166666666665,10.914583333333336,6.640625,3.05075,1.016,0.681,0.0,0.0,0.0
2023-24,2023,2024,1,6,2,November,11,2023,1,D,0,2023-11-04,2023-10-29,2023-11-04,7,97.0,13.857142857142858,24.0,24.0,33.654017857142854,27.030208333333334,42.96875,42.96875,74.49553571428571,58.822916666666664,94.70833333333334,61.60416666666667,0.023571428571428573,0.006875,0.03746875,0.0309375,5.772321428571429,3.2229166666666664,8.420833333333334,8.369791666666668,0.72425,0.67775,0.006,0.8094999999999999,0.26875,0.0
2023-24,2023,2024,2,7,2,November,11,2023,2,D,0,2023-11-11,2023-11-05,2023-11-11,7,86.75,12.392857142857142,21.5,7.25,32.93229166666667,26.85,41.625,28.3125,82.50297619047618,72.46875,93.0,81.48958333333334,0.049605654761904754,0.0,0.125375,0.1223125,7.4172619047619035,3.76875,11.65625,7.758333333333334,0.37925,0.20525,0.008,1.47275,0.90375,0.2015
